codigoUnidade;nome;endereco;cidade;estado;regiaoAdministrativa;cnpj;telefone;site;linkLogo
291;Fatec Adamantina;Rua Paraná, 400 - Jardim Brasil - CEP: 17800-000;Adamantina;SP;Presidente Prudente;62.823.257/0291-82;(18) 3522-4181 / 3502-4500;https://fatecadamantina.cps.sp.gov.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_presidente_prudente_adamantina.zip
004;Fatec Americana – Ministro Ralph Biasi;Rua Emilio de Menezes, s/n° gleba B – Vila Amorim - CEP: 13469-111 - Americana/SP;Americana;SP;Campinas;62.823.257/0016-87;(19) 3406-3297 / 3406-5776;http://www.fatec.edu.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_campinas_americana.zip
177;Fatec Araçatuba – Prof. Fernando Amaral de Almeida Prado;Av. Prestes Maia, 1.764 - Jardim Ipanema - CEP: 16052-045 - Araçatuba/SP.;Araçatuba;SP;Araçatuba;62.823.257/0177-61;(18) 3625-9917 / 3625-9914;http://www.fatecaracatuba.edu.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_aracatuba_aracatuba.zip
288;Fatec Araraquara – Prof. José Arana Varela;Rua Precide Scarpino Martim, 126 - Jd. Santa Clara - Araraquara/SP;Araraquara;SP;Central;62.823.257/0288-87;(16) 3339-7841;https://fatecararaquara.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_central_araraquara.zip
290;Fatec Araras – Antonio Brambilla;Rua Jarbas Leme Godoy, 875 - Jd. José Ometto II - Araras/SP;Araras;SP;Campinas;62.823.257/0290-00;(19) 3541-3004;https://fatecararas.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_campinas_araras.zip
275;Fatec Assis – Prof. Dr. José Luiz Guimarães;Avenida Dom Antônio, 2.100 – Parque Universitário - CEP: 19806-900 - Assis/SP;Assis;SP;Marília;62.823.257/0275-62;(18) 3324-1607;https://fatecassis.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_marilia_assis.zip
309;Fatec Atibaia;Avenida Jerônimo de Camargo – 421 - CEP 12951-540 - Caetetuba Atibaia/SP;Atibaia;SP;Campinas;62.823.257/0309-46;(11) 4402-1047 / 4402 1010;https://fatecatibaia.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/04/fatec_ra_campinas_atibaia.zip
005;Fatec Baixada Santista – Rubens Lara;Av. Senador Feijó, 350 - Vila Matias - CEP: 11015-502 - Santos/SP;Santos;SP;Baixada Santista;62.823.257/0017-68;(13) 3226-4100;http://fatecrl.edu.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_baixada_santista_baixada_santista_rubens_lara.zip
298;Fatec Barretos – Profª Édi Salvi Lima;Rua 18, 535 - Centro - CEP 14780-060 - Barretos/SP;Barretos;SP;Barretos;62.823.257/0298-59;(17) 3105-3801 / 3105-3805 / 3105-3806 / 98117-8337;https://fatecbarretos.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_barretos_barretos_profa_edi_salvi_lima.zip
209;Fatec Barueri – Padre Danilo José de Oliveira Ohl;Av. Carlos Capriotti , 123 - Centro - CEP: 06401-136 - Barueri/SP;Barueri;SP;Metropolitana de São Paulo;62.823.257/0209-83;(11) 2543-4900;http://www.fatecbarueri.edu.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_barueri.zip
196;Fatec Bauru;Rua Manoel Bento Cruz, 3-30 - Centro - CEP: 17015-171 - Bauru/SP;Bauru;SP;Bauru;62.823.257/0196-24;(14) 3236-9350;https://fatecbauru.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_bauru_bauru.zip
280;Fatec Bebedouro – Jorge Caram Sabbag;Rua Dr. Oscar Werneck,1286 - Centro - CEP: 14701-120 - Bebedouro/SP;Bebedouro;SP;Barretos;62.823.257/0280-20;(17) 3343-5395;https://fatecbb.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_barretos_bebedouro_jorge_caram_sabbag.zip
112;Fatec Botucatu;Av. José Ítalo Bacchi, s/n° - Jd. Aeroporto - CEP: 18606-855 - Botucatu/SP;Botucatu;SP;Sorocaba;62.823.257/0112-16;(14) 3811-7400;http://www.fatecbt.edu.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sorocaba_botucatu.zip
183;Fatec Bragança Paulista – Jornalista Omair Fagundes de Oliveira;Rua das Indústrias, 130 - Bairro Uberaba - CEP: 12926-674 - Bragança Paulista/SP;Bragança Paulista;SP;Campinas;62.823.257/0183-00;(11) 4031-0628;https://fatecbraganca.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_campinas_braganca_paulista.zip
276;Fatec Campinas;Av. Cônego Roccato, 593 - Jardim Santa Mônica - CEP: 13082-015;Campinas;SP;Campinas;62.823.257/0276 – 43;(19) 3216-6472 / 3216-6474;http://www.fateccampinas.com.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_campinas_campinas.zip
174;Fatec Capão Bonito;Rua Amantino de Oliveira Ramos, 60 - Terras do Embiruçu - Capão Bonito/SP;Capão Bonito;SP;Itapeva;62.823.257/0174-19;(15) 3542-2206 / 3542-2654;https://fateccapaobonito.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_itapeva_capao_bonito.zip
143;Fatec Carapicuíba;Av. Francisco Pignatari, 650 - Vila Gustavo Correia - CEP: 06310-390 - Carapicuíba/SP;Carapicuíba;SP;Metropolitana de São Paulo;62.823.257/0143-12;(11) 4185-6600;https://fateccarapicuiba.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_carapicuiba.zip
182;Fatec Catanduva;Rua Maranhão, 898 - Centro - CEP: 15800-020 - Catanduva/SP;Catanduva;SP;São José do Rio Preto;62.823.257/0182-29;(17) 3524-7211 / 3524-7186;https://fateccatanduva.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sao_jose_do_rio_preto_catanduva.zip
270;Fatec Cotia;Rua Nelson Raineri, 700 - Lageado - Cotia/SP;Cotia;SP;Metropolitana de São Paulo;62.823.257/0270-58;(11) 5699-9600;https://fateccotia.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_cotia.zip
127;Fatec Cruzeiro – Prof. Waldomiro May;Avenida Rotary, 383 - Vila Paulista - CEP: 12701-170;Cruzeiro;SP;São José dos Campos;62.823.257/0127-00;(12) 3143-6571;http://www.fateccruzeiro.edu.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sao_jose_dos_campos_cruzeiro.zip
307;Fatec de Embu das Artes;Estr. Barcelona, 879 - Parque dos Caetes, Embu das Artes - SP, 06845-270;Embu das Artes;SP;Metropolitana de São Paulo;62.823.257/0307-84;11 4785-4907 / 4785-4908;;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/06/fatec_ra_metropolitana_sp__embu_das_artes.zip
217;Fatec Diadema – Luigi Papaiz;Av. Luiz Merenda, 443 - Jd. Campanário - CEP: 09931-390 - Diadema/SP;Diadema;SP;Metropolitana de São Paulo;62.823.257/0217-93;(11) 4092-2328 / 4092-2471;https://fatecdiadema.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_diadema.zip
305;Fatec Esportes;Rua Paulo Lorenzani, s/nº - Parque Novo Mundo - 02180-021 - São Paulo - SP;São Paulo;SP;Metropolitana de São Paulo;62.823.257/0305-12;(11) 2955-1189 / (11) 2631-6584;https://fatecesportes.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2023/04/fatec_ra_metropolitana_sp_capital_esportes.zip
109;Fatec Franca – Dr. Thomaz Novelino;Rua Irênio Grecco, 4580 - Vila Imperador - CEP: 14405-191 - Franca/SP;Franca;SP;Franca;62.823.257/0109-10;(16) 3702-3204;http://fatecfranca.edu.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_franca_franca.zip
294;Fatec Franco da Rocha – Giuliano Cecchettini;Rod. Pref. Luiz Salomão Chamma, 240 entrada principal pela, Rua Nelson Rodrigues, s/n - Pouso Alegre, Franco da Rocha - SP, 07857-050;Franco da Rocha;SP;Metropolitana de São Paulo;62.823.257.0294-25;(11) 4449-2007;https://fatecfrancodarocha.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_franco_da_rocha.zip
119;Fatec Garça – Deputado Julio Julinho Marcondes de Moura;Av. Presidente Vargas, 2.331 - Vila José Ribeiro - CEP: 17404-500 - Garça/SP;Garça;SP;Marília;62.823.257/0119-92;(14) 3471-4723 / 3588-1800;https://fatecgarca.cps.sp.gov.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_marilia_garca.zip
106;Fatec Guaratinguetá – Prof. João Mod;Av. Prof. João Rodrigues Alckmin, 1.501 - Jardim Esperança - CEP: 12517-475 - Guaratinguetá/SP;Guaratinguetá;SP;São José dos Campos;62.823.257/0106-78;(12) 3126-2643;http://www.fatecguaratingueta.edu.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sao_jose_dos_campos_guaratingueta.zip
167;Fatec Guarulhos;Rua Cristóbal Cláudio Elilo, 88 – Parque Cecap - CEP: 07190-065- Guarulhos/SP;Guarulhos;SP;Metropolitana de São Paulo;62.823.257/0167-90;(11) 2475-8800;https://fatecguarulhos.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_guarulhos.zip
315;Fatec Ilha Solteira;Avenida Professor José Carlos Rossi, 1370, Bairro Cinturão Verde, Ilha Solteira, SP - CEP: 15385-470;Araçatuba;SP;Araçatuba;62.823.257/0315-94;(18) 99697-9278;https://fatecilhasolteira.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2025/09/fatec_ra_aracatuba_ilha_solteira.zip
105;Fatec Indaiatuba – Dr. Archimedes Lammoglia;Rua D. Pedro I, 65 - Cidade Nova - CEP: 13334-100 - Indaiatuba/SP;Indaiatuba;SP;Campinas;62.823.257/0105-97;(19) 3885-1922 / 3885-1923;http://www.fatecid.com.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_campinas_indaiatuba.zip
204;Fatec Ipiranga – Pastor Enéas Tognini;R. Frei João, 59 - Vila Nair - CEP: 04280-130 - Ipiranga/SP;São Paulo;SP;Metropolitana de São Paulo;62.823.257/0204-79;(11) 5060-2800;https://fatecipiranga.cps.sp.gov.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_capital_ipiranga.zip
131;Fatec Itapetininga – Prof. Antonio Belizandro Barbosa Rezende;Rua Dr. João Vieira de Camargo, 104 - Vila Barth - CEP: 18205-600 - Itapetininga/SP;Itapetininga;SP;Sorocaba;62.823.257/0131-89;(15) 3272-7916 / 3272-1165;https://fatecitapetininga.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sorocaba_itapetininga.zip
308;Fatec Itapevi;Rua Vicentina Camargo Gonçalves Oliveira, 120 - Parque Suburbano - CEP:06663-565 - Itapevi/SP;Itapevi;SP;Metropolitana de São Paulo;62.823.257/0308-65;(11) 4205-8900;https://fatecitapevi.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/04/fatec_ra_metropolitana_sp_itapevi.zip
278;Fatec Itapira – Ogari de Castro Pacheco;Rua Tereza Lera Paoletti, 590 - Jardim Bela Vista - Itapira/SP;Itapira;SP;Campinas;62.823.257/0278-05;(19) 3843-1996 / (19) 3843-7537 / (19) 3843-8516 /;https://fatecitapira.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_campinas_itapira.zip
155;Fatec Itaquaquecetuba;Av. Itaquaquecetuba, 711 - Vila - Monte Belo - CEP: 08577-210 - Itaquaquecetuba/SP;Itaquaquecetuba;SP;Metropolitana de São Paulo;62.823.257/0155-56;(11) 4753-3221 / 4732-9800;https://fatecitaqua.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_itaquaquecetuba.zip
257;Fatec Itaquera – Prof. Miguel Reale;Av. Miguel Ignácio Curi, 360 - Vila Carmosina - Itaquera - CEP: 08295-005 - Itaquera/SP;São Paulo;SP;Metropolitana de São Paulo;62.823.257/0257-80;(11) 2077-9800;https://fatecitaquera.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_capital_itaquera.zip
286;Fatec Itatiba – Maria Eunice Amadeo de Almeida;Rua Daniel Peçanha de Moraes, 220 - Jardim Salessi, Itatiba/SP CEP: 13251-140;Itatiba;SP;Campinas;628.232.57/0286-15;(11) 4524-3221 / 94742-9484;https://fatecdeitatiba.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_campinas_itatiba.zip
178;Fatec Itu – Dom Amaury Castanho;Av. Tiradentes, 1.211 - Parque das Indústrias - CEP: 13309-640 - Itu/SP;Itu;SP;Sorocaba;62.823.257/0178-42;(11) 4813-9303;https://fatecitu.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sorocaba_itu.zip
173;Fatec Jaboticabal – Nilo de Stéfani;Av. Eduardo Zambianchi, 31 - Vila Industrial - CEP: 14883-130 - Jaboticabal/SP;Jaboticabal;SP;Ribeirão Preto;62.823.257/0173-38;(16) 3202-7327 / 3202-6519;https://www.fatecjaboticabal.edu.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_ribeirao_preto_jaboticabal.zip
258;Fatec Jacareí – Professor Francisco de Moura;Av. Faria Lima, 155 - Jardim Santa Maria - CEP: 12328-070 - Jacareí/SP;Jacareí;SP;São José dos Campos;62.823.257/0258-61;(12) 3953-7926;https://fatecjacarei.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sao_jose_dos_campos_jacarei.zip
020;Fatec Jahu;Rua Frei Galvão, s/nº - Jardim Pedro Ometto - CEP: 17212-599 - Jaú/SP;Jaú;SP;Bauru;62.823.257/0020-63;(14) 3622-8280 / 3622-8037 / 3621-9044;http://fatecjahu.edu.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_bauru_jahu.zip
171;Fatec Jales – Professor José Camargo;Rua Vicente Leporace, 2630 - Jardim Trianon - CEP: 15703-116 - Jales/SP;Jales;SP;São José do Rio Preto;62.823.257/0171-76;(17) 3624-3800;http://www.fatecjales.edu.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_sao_jose_do_rio_preto_jales.zip
114;Fatec Jundiaí – Deputado Ary Fossen;Av. União dos Ferroviários, 1.760 - Centro - CEP: 13201-160 - Jundiaí/S;Jundiaí;SP;Campinas;62.823.257/0114-88;(11) 4522-7549 / 4523-0092;http://www.fatecjd.edu.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_campinas_jundiai.zip
192;Fatec Lins – Prof. Antonio Seabra;Estrada Mário Covas Junior , km 1 - Vila Guararapes, Lins - CEP: 16403-025;Lins;SP;Bauru;62.823.257/0192-09;(14) 3523-7745 / 3532-5182;https://www.fateclins.edu.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_bauru_lins_prof_antonio_seabra.zip
130;Fatec Marília – Estudante Rafael Almeida Camarinha;Av. Castro Alves, 62 - Somenzari - CEP: 17506-000 - Marília/SP;Marília;SP;Marília;62.823.257/0130-06;(14) 3454-7540 / 3454-7541;https://fatecmarilia.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_marilia_marilia.zip
297;Fatec Matão – Luiz Marchesan;Avenida Habib Gabriel, 1360 - Bairro Residencial Olívio Benassi - CEP: 15990-539 - Matão/SP;Matão;SP;Central;62.823.257/0297-78;(16) 2016-2694 / 2016-2695;https://fatecmatao.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/02/fatec_ra_central_matao.zip
113;Fatec Mauá;Av. Antonia Rosa Fioravante, 804 - Vila Fausto Morelli - CEP: 09360-120 - Mauá/SP;Mauá;SP;Metropolitana de São Paulo;62.823.257/0113-05;(11) 4543-3221 / 4543-3238 / 4519-5899;http://www.fatecmaua.com.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_maua.zip
120;Fatec Mococa;Av. Dr. Américo Pereira Lima, s/nº Jardim Lavínia - CEP: 13736-260 - Mococa/SP;Mococa;SP;Campinas;62.823.257/0120-26;(19) 3656-5559 / 3665-5079 / 3665-6005 / 3665-6484;https://fatecmococa.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_campinas_mococa.zip
184;Fatec Mogi das Cruzes;Rua Carlos Barattino, 908 - Vila Mogilar - CEP: 08831-570 - Mogi das Cruzes/SP;Mogi das Cruzes;SP;Metropolitana de São Paulo;62.823.257/0184-90;(11) 4699-2799;http://www.fatecmogidascruzes.com.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_mogi_das_cruzes.zip
163;Fatec Mogi Mirim – Arthur de Azevedo;Rua Ariovaldo Silveira Franco, 567, Jardim 31 de Março - CEP: 13801-005 - Mogi Mirim/SP;Mogi Mirim;SP;Campinas;62.823.257/0163-66;(19) 3804-5390 / 3804-5360 / 3806-3139 / 3806-2181;https://fatecmm.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_campinas_mogi_mirim.zip
312;Fatec Olímpia;Av. Governador Adhemar Pereira de Barros, km3 - Recanto Bela Vista - CEP 15400-000 - Olímpia/SP;Olímpia;SP;Barretos;62.823.257/0312-41;(17) 98131-6485;https://fatecolimpia.cps.sp.gov.br/;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2025/04/fatec_ra_barretos_olimpia.zip
216;Fatec Osasco – Prefeito Hirant Sanazar;Rua Pedro Rissato, 30 - Vila dos Remédios - CEP: 06296-220 - Osasco/SP;Osasco;SP;Metropolitana de São Paulo;62.823.257/0216-02;(11) 3603-9910 / 3656-0203;https://fatecosasco.cps.sp.gov.br;https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_metropolitana_sp_osasco.zip
