"Cód. da Unidade";"Unidade";"Histórico";"CNPJ";"Região Administrativa";"Município";"Direção";"Direção Administrativo";"Direção Acadêmica";"Telefone";"Aniversário da Cidade";"Endereço";"Site";"Redes Sociais";"Arquivos";"Logotipo";"Cursos"
"291";"Fatec Adamantina";"A Fatec foi implantada no 2º semestre de 2018";"62.823.257/0291-82";"Presidente Prudente";"Adamantina";"                José Eduardo Rossilho de Figueiredo                f291dir@cps.sp.gov.br              ";"                Leandro Radighieri                f291adm@cps.sp.gov.br              ";"                Luis Henrique da Silva Fabrício                f291acad@cps.sp.gov.br              ";"(18) 3522-4181 / 3502-4500Discagem Abreviada: (6) 291";"                13/06              ";"Rua Paraná, 400 - Jardim Brasil - CEP: 17800-000";"https://fatecadamantina.cps.sp.gov.br";"                                                  Facebook: https://www.facebook.com/fatec.adamantina                                                                                  Instagram: https://www.instagram.com/fatec.adamantina                                                                                                                  Youtube: https://www.youtube.com/channel/UCAl13BaKsuoDJNrTzIeMl1w                                                                                                                              ";"                                                                                Decreto de Criação: 63.313, de 26/03/2018 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2018/decreto-63313-26.03.2018.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_presidente_prudente_adamantina.zip                            ";"Cursos Superiores de Tecnologia PresenciaisCiência de DadosGestão Comercial"
"004";"Fatec Americana – Ministro Ralph Biasi";"A Fatec foi implantada em 1986.";"62.823.257/0016-87";"Campinas";"Americana";"                Wladimir da Costa                f004dir@cps.sp.gov.br              ";"                Fabiana Morelli                f004adm@cps.sp.gov.br              ";"                Lilian Aparecida Santarosa Lemes                f004acad@cps.sp.gov.br              ";"(19) 3406-3297 / 3406-5776Discagem Abreviada: (6) 004";"                27/08              ";"Rua Emilio de Menezes, s/n° gleba B – Vila Amorim - CEP: 13469-111 - Americana/SP";"http://www.fatec.edu.br";"                                                  Facebook: http://www.facebook.com/fatecamoficial                                                                                  Instagram: http://www.instagram.com/fatecamoficial                                                                                  X: https://twitter.com/fatecamoficial                                                                                  Linkedin: https://www.linkedin.com/school/fatecamoficial                                                                                  Youtube: https://www.youtube.com/channel/UCiYMAsNeoRjAJ75iz3YyLnw                                                                                                                              ";"                                                                                Decreto de Criação: 25.850, de 08/09/1986 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/1986/decreto-25850-08.09.1986.html                                    Lei de Denominação: 8.348, de 15/07/1993 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/1993/lei-8348-15.07.1993.html                                    Lei de Denominação: 16.904, de 28/12/2018 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2018/lei-16904-28.12.2018.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_campinas_americana.zip                            ";"Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de SistemasDesign de Moda Gestão EmpresarialJogos DigitaisLogísticaProdução TêxtilSegurança da InformaçãoCursos Superiores de Tecnologia EaDGestão Empresarial"
"177";"Fatec Araçatuba – Prof. Fernando Amaral de Almeida Prado";"A Fatec foi implantada no 1º semestre de 2008.";"62.823.257/0177-61";"Araçatuba";"Araçatuba";"                Giuliano Pierre Estevam                f177dir@cps.sp.gov.br              ";"                Sandra Marcia Faria Rillo                f177adm@cps.sp.gov.br              ";"                Luzia Aparecida Barbosa Bertolucci                f177acad@cps.sp.gov.br              ";"(18) 3625-9917 / 3625-9914Discagem Abreviada: (6) 177";"                02/12              ";"Av. Prestes Maia, 1.764 - Jardim Ipanema - CEP: 16052-045 - Araçatuba/SP.";"http://www.fatecaracatuba.edu.br";"                                                  Facebook: https://www.facebook.com/fatecaracatuba                                                                                  Instagram: https://www.instagram.com/fatec177/                                                                                  X: https://twitter.com/fatec_aracatuba                                                                                                                                                                                  Whatsapp: https://api.whatsapp.com/send?phone=55111836259914                                              ";"                                                                                Decreto de Criação: 52.639, de 21/01/2008 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2008/decreto-52639-21.01.2008.html                                    Lei de Denominação: 13.233, de 01/12/2008 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2008/lei-13233-01.12.2008.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_aracatuba_aracatuba.zip                            ";"Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de SistemasBiocombustíveisCursos Superiores de Tecnologia EaDGestão Empresarial"
"288";"Fatec Araraquara – Prof. José Arana Varela";"A Fatec foi implantada no 2º semestre de 2017.";"62.823.257/0288-87";"Central";"Araraquara";"                Daniela Russo Leite                f288dir@cps.sp.gov.br              ";"                Taíse de Souza Romualdo                f288adm@cps.sp.gov.br              ";"                Felipe Cavalleiros Sasaoka                         f288acad@cps.sp.gov.br              ";"(16) 3339-7841Discagem Abreviada: (6) 288";"                22/08              ";"Rua Precide Scarpino Martim, 126 - Jd. Santa Clara - Araraquara/SP";"https://fatecararaquara.cps.sp.gov.br/";"                                                  Facebook: https://www.facebook.com/fatecAqa                                                                                  Instagram: https://www.instagram.com/fatecararaquara                                                                                                  Linkedin: https://br.linkedin.com/school/fatecararaquara/                                                                                  Youtube: https://www.youtube.com/channel/UCF65BspphmekHHYwZ-pKxdA                                                                                                                              ";"                                                                                Decreto de Criação: 62.679, de 07/07/2017 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2017/decreto-62679-07.07.2017.html                                    Nomeação: 17.501, de 07/01/2022 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2022/lei-17501-07.01.2022.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_central_araraquara.zip                            ";"Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de SistemasGestão ComercialGestão da Produção IndustrialGestão EmpresarialSegurança da Informação"
"290";"Fatec Araras – Antonio Brambilla";"A Fatec foi implantada no 2º semestre de 2017.";"62.823.257/0290-00";"Campinas";"Araras";"                Marco Anselmo de Godoi Prezoto                f290dir@cps.sp.gov.br              ";"                Ana Paula Luzetti                f290adm@cps.sp.gov.br              ";"                Rosana Fátima de Melo                f290acad@cps.sp.gov.br              ";"(19) 3541-3004Discagem Abreviada: (6) 290";"                15/08              ";"Rua Jarbas Leme Godoy, 875 - Jd. José Ometto II - Araras/SP";"https://fatecararas.cps.sp.gov.br/";"                                                  Facebook: https://www.facebook.com/fatec.araras                                                                                  Instagram: https://www.instagram.com/fatec.araras                                                                                                  Linkedin: https://www.linkedin.com/company/fatec-araras                                                                                  Youtube: https://www.youtube.com/c/FatecArarasOficial                                                                                                                                                  Whatsapp: https://api.whatsapp.com/send?phone=5519987701768                                              ";"                                                                                Decreto de Criação: 62.680, de 07/07/2017 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2017/decreto-62680-07.07.2017.html                                    Lei de Denominação: 17.150, de 18/09/2019 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2019/lei-17150-18.09.2019.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_campinas_araras.zip                            ";"Cursos Superiores de Tecnologia PresenciaisDesenvolvimento de Software MultiplataformaGestão Empresarial"
"309";"Fatec Arujá (início das atividades 1º sem/2027)";"";"";"Metropolitana de São Paulo";"Arujá";"                                f309dir@cps.sp.gov.br              ";"                                f309adm@cps.sp.gov.br              ";"                                f309acad@cps.sp.gov.br              ";"Discagem Abreviada: (6) 309";"                08/06              ";"Rua Othelo Meleckcevisks, s/n - Arujá Center Ville - Arujá/SP - CEP 07401-080";"";"                                                                                                                                                                              ";"                                                                                 -                                                                                 ";"                            ";"Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de Sistemas"
"275";"Fatec Assis – Prof. Dr. José Luiz Guimarães";"A Fatec foi implantada no 2º semestre de 2014.";"62.823.257/0275-62";"Marília";"Assis";"                Luiz Carlos Begosso                f275dir@cps.sp.gov.br              ";"                Patrícia Gasparoto de Freitas                f275adm@cps.sp.gov.br              ";"                Ezilda Zandonadi Machado                           f275acad@cps.sp.gov.br              ";"(18) 3324-1607Discagem Abreviada: (6) 275";"                01/07              ";"Avenida Dom Antônio, 2.100 – Parque Universitário - CEP: 19806-900 - Assis/SP";"https://fatecassis.cps.sp.gov.br/";"                                                  Facebook: https://www.facebook.com/vemprafatecassis                                                                                  Instagram: https://www.instagram.com/fatecassis                                                                                                                  Youtube: https://www.youtube.com/c/FatecAssis                                                                                                                              ";"                                                                                Decreto de Criação: 60.318, de 01/04/2014 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2014/decreto-60318-01.04.2014.html                                    Lei de Denominação: 17.216, de 29/11/2019 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2019/lei-17216-29.11.2019.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2020/10/fatec_ra_marilia_assis.zip                            ";"Cursos Superiores de Tecnologia PresenciaisGestão ComercialGestão da Tecnologia da Informação"
"309";"Fatec Atibaia";"Unidade criada em 2025.";"62.823.257/0309-46";"Campinas";"Atibaia";"                Mariluci Alves Martino                f309dir@cps.sp.gov.br              ";"                Ellis Sandra de Souza Lima                f309adm@cps.sp.gov.br              ";"                Caroline Audreuccetti                f309acad@cps.sp.gov.br              ";"(11) 4402-1047 / 4402 1010Discagem Abreviada: (6) 309";"                24/06              ";"Avenida Jerônimo de Camargo – 421 - CEP 12951-540 - Caetetuba Atibaia/SP";"https://fatecatibaia.cps.sp.gov.br/";"                                                                  Instagram: https://www.instagram.com/fatecatibaia/                                                                                                                                                                              ";"                                                                                Decreto de Criação: 69.600, de 09/06/2025 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2025/decreto-69600-09.06.2025.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/04/fatec_ra_campinas_atibaia.zip                            ";"Cursos Superiores de Tecnologia PresenciaisDesenvolvimento de Software Multiplataforma"
"005";"Fatec Baixada Santista – Rubens Lara";"A Fatec foi implantada no 1° semestre de 1987.";"62.823.257/0017-68";"Baixada Santista";"Santos";"                Jorge Monteiro Junior                f005dir@cps.sp.gov.br              ";"                Abelino Guimarães Neto                f005adm@cps.sp.gov.br              ";"                Raquel de Souza Felix da Silva                f005acad@cps.sp.gov.br              ";"(13) 3226-4100Discagem Abreviada: (6) 005";"                26/01              ";"Av. Senador Feijó, 350 - Vila Matias - CEP: 11015-502 - Santos/SP";"http://fatecrl.edu.br";"                                                  Facebook: https://www.facebook.com/fatecrl                                                                                  Instagram: https://www.instagram.com/fatecrl                                                                                  X: https://twitter.com/FatecRubensLara                                                                                  Linkedin: https://www.linkedin.com/school/fatecrl                                                                                  Youtube: https://www.youtube.com/c/FatecBSRubensLara                                                                                                                              ";"                                                                                Decreto de Criação: 26.150, de 31/10/1986 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/1986/decreto-26150-31.10.1986.html                                    Lei de Denominação: 13.236, de 01/12/2008 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2008/lei-13236-01.12.2008.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_baixada_santista_baixada_santista_rubens_lara.zip                            ";"Cursos Superiores de Tecnologia PresenciaisAnálise e Desenvolvimento de SistemasCiência de DadosGestão de Recursos HumanosGestão EmpresarialGestão PortuáriaLogísticaSistemas para InternetCursos Superiores de Tecnologia EaDGestão Empresarial"
"298";"Fatec Barretos – Profª Édi Salvi Lima";"A Fatec foi Implantada em 2021.";"62.823.257/0298-59";"Barretos";"Barretos";"                Paulo Sérgio Jorge                f298dir@cps.sp.gov.br              ";"                Amanda Letícia dos Santos Oliveira                f298adm@cps.sp.gov.br              ";"                João Augusto Soares                f298acad@cps.sp.gov.br              ";"(17) 3105-3801 / 3105-3805 / 3105-3806 / 98117-8337Discagem Abreviada: (6) 298";"                25/08              ";"Rua 18, 535 - Centro - CEP 14780-060 - Barretos/SP";"https://fatecbarretos.cps.sp.gov.br/";"                                                  Facebook: https://www.facebook.com/FatecBarretos                                                                                  Instagram: https://www.instagram.com/fatec.barretos                                                                                                                  Youtube: https://www.youtube.com/channel/UC2uHZphPE1AfmVPCykQCUzQ                                                                                                                              ";"                                                                                Decreto de Criação: 66.001, de 09/09/2021 -                     https://www.al.sp.gov.br/repositorio/legislacao/decreto/2021/decreto-66001-09.09.2021.html                                    Decreto de Nomeação: 17.750, de 18/09/2023 -                     https://www.al.sp.gov.br/repositorio/legislacao/lei/2023/lei-17750-18.09.2023.html                                                            ";"                              https://bkpsitecpsnew.blob.core.windows.net/uploadsitecps/sites/1/2024/08/fatec_ra_barretos_barretos_profa_edi_salvi_lima.zip                            ";"Cursos Superiores de Tecnologia PresenciaisGestão Hospitalar"
